city_name,latitude,longitude,zip_code
Santa Luzia do Norte,-9.6108,-35.8292,57130-000
São Sebastião,-9.967,-36.5528,57275-000
São Brás,-10.1241,-36.8504,57380-000
São Miguel dos Milagres,-9.2542,-35.3842,57940-000
Santana do Ipanema,-9.3443,-37.194,57500-000
São Luís do Quitunde,-9.2628,-35.5719,57920-000
Rio Largo,-9.5139,-35.9106,57100-000
Satuba,-9.5853,-35.8456,57120-000
Senador Rui Palmeira,-9.3383,-37.5597,57515-000
Tanque d'Arca,-9.5607,-36.4082,57635-000
São Miguel dos Campos,-9.8288,-36.1138,57240-000
São José da Tapera,-9.5134,-37.6088,57445-000
Taquarana,-9.5977,-36.4878,57640-000
Viçosa,-9.3602,-36.3209,57700-000
Ferreira Gomes,0.9101,-51.3544,68915-000
Cutias,0.9971,-50.5204,68973-000
Pedra Branca do Amaparí,1.1484,-52.4012,68948-000
Porto Grande,0.5655,-51.7118,68997-000
Itaubal,0.5773,-50.6783,68976-000
Amapá,1.8571,-50.8437,68950-000
Traipu,-9.8924,-36.9785,57370-000
Macapá,0.5987,-50.7685,68900-000
Alvarães,-3.7149,-65.3041,69475-000
Pracuúba,1.6708,-51.2449,68918-000
Vitória do Jari,-0.9565,-52.0344,68924-000
Mazagão,0.0399,-52.1163,68940-000
Tartarugalzinho,1.263,-51.1097,68990-000
Calçoene,2.361,-51.4529,68960-000
União dos Palmares,-9.1325,-36.0818,57800-000
Laranjal do Jari,0.9383,-53.2295,68920-000
Oiapoque,2.7079,-52.1696,68980-000
Santana,0.1813,-51.3884,68925-000
Amapari,0.6167,-51.65,68945-000
Apuí,-7.7892,-59.341,69265-000
Amaturá,-3.3893,-68.227,69620-000
Anori,-4.2132,-62.1556,69440-000
Boa Vista do Ramos,-3.1478,-57.625,69195-000
Caapiranga,-3.1298,-61.7441,69410-000
Autazes,-3.873,-59.6814,69240-000
Anamã,-3.4799,-61.7169,69445-000
Careiro,-3.8332,-60.2047,69250-000
Atalaia do Norte,-5.6645,-71.8278,69650-000
Canutama,-7.5897,-64.1294,69820-000
Coari,-4.085,-63.1414,69460-000
Borba,-5.1124,-59.3054,69200-000
Barreirinha,-3.0656,-57.1662,69160-000
Barcelos,-0.3929,-63.5371,69700-000
Careiro da Várzea,-3.3515,-59.6553,69255-000
Codajás,-3.1626,-63.1473,69450-000
Boca do Acre,-8.5542,-68.0359,69850-000
Benjamin Constant,-5.6484,-70.4068,69630-000
Beruri,-4.3437,-61.7513,69430-000
Carauari,-5.1159,-67.3578,69500-000
Eirunepé,-7.1585,-70.4155,69880-000
Lábrea,-8.1844,-66.075,69830-000
Itamarati,-6.7647,-68.0393,69510-000
Maraã,-2.6379,-64.8042,69490-000
Manacapuru,-3.2475,-61.0079,69400-000
Humaitá,-7.4387,-62.3248,69800-000
Envira,-7.6421,-70.1408,69870-000
Guajará,-7.1365,-72.7151,69895-000
Manaus,-2.6638,-60.135,69000-000
Itapiranga,-2.516,-58.5573,69120-000
Ipixuna,-7.1191,-71.3759,69890-000
Juruá,-3.2753,-66.2421,69520-000
Fonte Boa,-2.4959,-66.2662,69670-000
Maués,-5.0633,-58.3028,69190-000
Japurá,-1.5535,-68.2453,69495-000
Itacoatiara,-3.1598,-58.812,69100-000
Jutaí,-4.6548,-68.2803,69660-000
Iranduba,-3.1014,-60.4464,69405-000
Manicoré,-7.0664,-61.557,69280-000
Manaquiri,-3.7905,-60.7072,69435-000
Nhamundá,-1.3665,-57.8879,69140-000
Presidente Figueiredo,-1.2834,-59.9832,69735-000
São Sebastião do Uatumã,-1.932,-58.7422,69135-000
Tefé,-4.5223,-65.6045,69470-000
Novo Aripuanã,-7.001,-60.6302,69260-000
Santa Isabel do Rio Negro,-0.2548,-65.5512,69740-000
Tapauá,-6.2142,-65.6998,69480-000
Santo Antônio do Içá,-3.09,-68.7592,69680-000
Pauini,-7.6893,-68.1422,69860-000
Nova Olinda do Norte,-3.9464,-58.5974,69230-000
Uarini,-3.1474,-65.4204,69485-000
Novo Airão,-1.9839,-61.7851,69730-000
Parintins,-2.6634,-56.9341,69150-000
São Paulo de Olivença,-4.6509,-69.5814,69600-000
Silves,-2.7685,-58.6275,69110-000
São Gabriel da Cachoeira,0.2404,-68.0324,69750-000
Rio Preto da Eva,-2.4929,-59.6078,69115-000
Tonantins,-2.6409,-67.8461,69685-000
Tabatinga,-3.963,-69.6027,69640-000
Urucará,-1.1928,-58.8043,69130-000
Urucurituba,-2.8327,-57.7501,69180-000
Acajutiba,-11.6068,-38.0359,48360-000
Abaíra,-13.3213,-41.6976,46690-000
Água Fria,-11.7476,-38.735,48170-000
Abaré,-8.8096,-39.2706,48680-000
Adustina,-10.4823,-37.9845,48435-000
Alagoinhas,-12.0058,-38.3615,48000-000
Érico Cardoso,-13.4369,-42.1033,46180-000
Amargosa,-13.0497,-39.6072,45300-000
Alcobaça,-17.4636,-39.374,45990-000
Andaraí,-12.8417,-41.2768,46830-000
Almadina,-14.6761,-39.6907,45640-000
Angical,-11.9628,-44.7498,47960-000
América Dourada,-11.4694,-41.4733,44910-000
Anguera,-12.1822,-39.2138,44670-000
Aiquara,-14.1114,-39.8764,45220-000
Anagé,-14.6617,-41.147,45180-000
Andorinha,-10.2222,-39.8639,48990-000
Amélia Rodrigues,-12.3118,-38.7385,44230-000
Antas,-10.4214,-38.3034,48420-000
Antônio Gonçalves,-10.6228,-40.4093,44780-000
Antônio Cardoso,-12.3864,-39.1455,44180-000
Aramari,-12.0462,-38.5576,48130-000
Araças,-12.1468,-38.1723,48108-000
Barra,-11.3183,-43.4688,47100-000
Baixa Grande,-11.9774,-40.1799,44620-000
Barreiras,-11.9333,-45.4924,47800-000
Aporá,-11.7544,-38.2278,48350-000
Baianópolis,-12.4833,-44.5311,47830-000
Aracatu,-14.3901,-41.3633,46130-000
Apuarema,-13.83,-39.7344,45355-000
Barra do Choça,-15.0102,-40.6673,45120-000
Araci,-11.1356,-39.07,48760-000
Aurelino Leal,-14.3317,-39.5099,45675-000
Aratuípe,-13.0936,-39.0826,44490-000
Arataca,-15.2461,-39.4248,45695-000
Barra do Mendes,-12.1609,-42.0354,44990-000
Banzaê,-10.6158,-38.6269,48405-000
Barra do Rocha,-14.0603,-39.6138,45560-000
Barra da Estiva,-13.7178,-41.0838,46650-000
Barro Alto,-11.7739,-41.9132,44895-000
Belmonte,-15.8916,-39.3227,45800-000
Belo Campo,-14.8742,-41.2267,45160-000
Boninal,-12.8036,-41.6834,46740-000
Brejões,-13.0706,-39.821,45325-000
Boa Nova,-14.3641,-40.2238,45250-000
Cabaceiras do Paraguaçu,-12.5542,-39.196,44345-000
Brumado,-14.1526,-41.6037,46100-000
Boa Vista do Tupim,-12.8731,-40.6282,46850-000
Brejolândia,-12.4124,-43.9282,47750-000
Boquira,-12.7394,-42.6417,46530-000
Biritinga,-11.6708,-38.7893,48780-000
Caatiba,-15.0485,-40.1459,45130-000
Botuporã,-13.2507,-42.4108,46570-000
Brotas de Macaúbas,-12.1061,-42.5111,47560-000
Bonito,-12.0049,-41.3178,46820-000
Bom Jesus da Lapa,-13.2085,-43.2962,47600-000
Buritirama,-10.5708,-43.6886,47120-000
Bom Jesus da Serra,-14.3838,-40.5398,45263-000
Buerarema,-14.9907,-39.3059,45615-000
Cachoeira,-12.676,-38.8541,44300-000
Candiba,-14.4697,-42.8739,46380-000
Caetanos,-14.2923,-41.01,45265-000
Camamu,-14.0181,-39.224,45445-000
Caetité,-13.9078,-42.5223,46400-000
Caém,-11.194,-40.2574,44730-000
Canavieiras,-15.6483,-39.1709,45860-000
Candeias,-12.6557,-38.487,43800-000
Camacan,-15.4277,-39.5082,45880-000
Camaçari,-12.619,-38.2057,42800-000
Cairu,-13.5266,-38.9481,45420-000
Cafarnaum,-11.8067,-41.384,44880-000
Caldeirão Grande,-11.0435,-40.2951,44750-000
Candeal,-11.895,-39.2039,48710-000
Caculé,-14.3883,-42.4152,46300-000
Campo Formoso,-10.3101,-40.8108,44790-000
Campo Alegre de Lourdes,-9.501,-42.9828,47220-000
Canápolis,-13.1252,-44.251,47730-000
Canarana,-11.6678,-41.7376,44890-000
Cândido Sales,-15.4608,-41.1635,45157-000
Cansanção,-10.8118,-39.4146,48840-000
Canudos,-9.8798,-39.1472,48520-000
Castro Alves,-12.7494,-39.3769,44500-000
Cardeal da Silva,-11.998,-37.9247,48390-000
Caturama,-13.186,-42.3025,46575-000
Carinhanha,-14.2139,-43.8471,46445-000
Capim Grosso,-11.2942,-39.9557,44695-000
Cícero Dantas,-10.5388,-38.4214,48410-000
Caravelas,-17.6677,-39.7562,45900-000
Caraíbas,-14.6063,-41.2576,45177-000
Capela do Alto Alegre,-11.6184,-39.8323,44645-000
Catolândia,-12.2961,-44.6753,47815-000
Casa Nova,-9.1044,-41.1574,47300-000
Central,-11.1542,-42.0815,44940-000
Catu,-12.3776,-38.4005,48110-000
Cocos,-14.5944,-45.2796,47680-000
Conceição da Feira,-12.5069,-38.9947,44320-000
Chorrochó,-9.3055,-39.1565,48660-000
Cipó,-11.1104,-38.5095,48450-000
Coaraci,-14.6449,-39.5938,45638-000
Coronel João Sá,-10.3888,-37.9428,48590-000
Condeúba,-14.9327,-42.0069,46200-000
Correntina,-13.2899,-45.1319,47650-000
Conceição do Almeida,-12.855,-39.2409,44540-000
Conde,-11.8033,-37.6482,48300-000
Coração de Maria,-12.2427,-38.7824,44250-000
Conceição do Coité,-11.6321,-39.1911,48730-000
Contendas do Sincorá,-13.796,-41.05,46620-000
Conceição do Jacuípe,-12.4217,-38.6986,44245-000
Coribe,-13.7234,-44.4354,47690-000
Cordeiros,-14.9985,-41.8975,46280-000
Cotegipe,-11.5884,-44.17,47900-000
Crisópolis,-11.4553,-38.1393,48480-000
Cruz das Almas,-12.6703,-39.1144,44380-000
Cristópolis,-12.2179,-44.2499,47950-000
Dias d'Ávila,-12.5968,-38.2807,42850-000
Cravolândia,-13.4702,-39.7549,45330-000
Curaçá,-9.1346,-39.6685,48930-000
Dário Meira,-14.4234,-39.9593,45590-000
Dom Basílio,-13.7972,-41.7088,46165-000
Dom Macedo Costa,-12.9338,-39.1462,44560-000
Fátima,-10.546,-38.2237,48415-000
Elísio Medrado,-12.9543,-39.5058,45305-000
Entre Rios,-12.0697,-38.0299,48180-000
Encruzilhada,-15.5684,-40.9079,45150-000
Euclides da Cunha,-10.4051,-39.0337,48500-000
Esplanada,-11.9547,-37.8936,48370-000
Eunápolis,-16.3122,-39.6702,45820-000
Gongogi,-14.3,-39.6014,45540-000
Feira da Mata,-14.132,-44.2528,46446-000
Gentio do Ouro,-11.3628,-42.5483,47450-000
Governador Mangabeira,-12.5772,-39.0311,44350-000
Filadélfia,-10.7663,-40.2056,44775-000
Feira de Santana,-12.2337,-39.0656,44000-000
Floresta Azul,-14.8445,-39.755,45740-000
Firmino Alves,-14.9136,-39.9119,45720-000
Glória,-9.111,-38.4065,48610-000
Formosa do Rio Preto,-10.8886,-45.9121,47990-000
Gandu,-13.8156,-39.4474,45450-000
Gavião,-11.4889,-39.7741,44650-000
Guajeru,-14.5788,-42.0399,46205-000
Heliópolis,-10.7286,-38.2549,48445-000
Ibicoara,-13.3766,-41.3408,46760-000
Guaratinga,-16.5699,-39.9782,45840-000
Ibiassucê,-14.2029,-42.3021,46390-000
Ibipeba,-11.4978,-42.1908,44970-000
Ibipitanga,-12.8865,-42.3711,46540-000
Guanambi,-14.133,-42.824,46430-000
Ibirataia,-13.9729,-39.6371,45580-000
Ibicuí,-14.6097,-39.8557,45290-000
Iaçu,-12.7698,-40.1834,46860-000
Ibiquera,-12.5726,-40.8416,46840-000
Ibirapuã,-17.7557,-39.9737,45940-000
Ibicaraí,-14.8744,-39.5598,45745-000
Ibirapitanga,-14.0589,-39.4082,45500-000
Ibitiara,-12.5658,-42.3899,46700-000
Ichu,-11.7034,-39.1872,48725-000
Ibititá,-11.6935,-41.8415,44960-000
Ibotirama,-11.8862,-43.2529,47520-000
Igaporã,-13.8906,-42.7605,46490-000
Igrapiúna,-13.8561,-39.1936,45443-000
Ipecaetá,-12.3378,-39.3283,44680-000
Irajuba,-13.18,-39.9953,45370-000
Ipupiara,-11.7695,-42.433,47590-000
Itabuna,-14.8815,-39.3671,45600-000
Itacaré,-14.3695,-39.1251,45530-000
Itabela,-16.7164,-39.5733,45848-000
Iguaí,-14.6182,-40.0616,45280-000
Ipirá,-12.2741,-39.9164,44600-000
Ilhéus,-14.7594,-39.2179,45650-000
Irecê,-11.3032,-41.8344,44900-000
Itaeté,-12.9807,-40.9551,46790-000
Inhambupe,-11.7966,-38.3704,48490-000
Irará,-12.049,-38.7362,44255-000
Ipiaú,-14.0571,-39.7255,45570-000
Itaberaba,-12.451,-40.2031,46880-000
Iraquara,-12.2862,-41.5915,46980-000
Itagi,-14.197,-40.033,45230-000
Itagibá,-14.2464,-39.8497,45585-000
Iramaia,-13.5463,-40.8283,46770-000
Itagimirim,-16.1347,-39.8165,45850-000
Itajuípe,-14.6919,-39.4292,45630-000
Itapé,-14.9185,-39.4864,45750-000
Itamari,-13.7859,-39.6842,45455-000
Itambé,-15.2248,-40.4951,45140-000
Itaju do Colônia,-15.1551,-39.716,45730-000
Itiruçu,-13.5209,-40.1641,45350-000
Itiúba,-10.7936,-39.8038,48850-000
Itanhém,-17.0811,-40.361,45970-000
Itaguaçu da Bahia,-10.6426,-42.2108,47440-000
Itanagra,-12.3098,-38.1133,48290-000
Itaparica,-12.906,-38.6638,44460-000
Itapitanga,-14.4637,-39.6256,45645-000
Itatim,-12.6283,-39.6823,46875-000
Itaquara,-13.4472,-39.9103,45340-000
Itamaraju,-16.9452,-39.8127,45836-000
Itapicuru,-11.181,-38.1499,48475-000
Itapebi,-15.8875,-39.6879,45855-000
Itapetinga,-15.3341,-40.0863,45700-000
Itarantim,-15.708,-40.0305,45780-000
Itororó,-15.0672,-40.0194,45710-000
Ituberá,-13.7874,-39.1469,45435-000
Jussara,-10.9641,-41.8557,44925-000
Jaguaquara,-13.5957,-39.9293,45345-000
Jeremoabo,-9.9209,-38.7263,48540-000
Jacaraci,-14.8352,-42.4011,46310-000
Jacobina,-11.1479,-40.4311,44700-000
Ituaçu,-13.9036,-41.3969,46640-000
Jequié,-13.923,-40.0837,45200-000
Iuiú,-14.6501,-43.6487,46438-000
Jandaíra,-11.611,-37.6184,48310-000
Jitaúna,-13.979,-39.9006,45225-000
João Dourado,-11.1488,-41.4044,44920-000
Jaborandi,-14.0385,-45.1841,47655-000
Juazeiro,-9.3968,-40.2338,48900-000
Jaguaripe,-13.1283,-39.0134,44480-000
Jussari,-15.1545,-39.5156,45610-000
Jaguarari,-10.148,-40.1043,48960-000
Jiquiriçá,-13.3108,-39.5809,45470-000
Jucuruçu,-16.8483,-40.0841,45834-000
Lafaiete Coutinho,-13.6203,-40.2044,45215-000
Lajedão,-17.5711,-40.3112,45950-000
Lagoa Real,-14.1099,-42.217,46425-000
Jussiape,-13.4881,-41.6234,46670-000
Laje,-13.1846,-39.2975,45490-000
Lamarão,-11.8452,-38.9771,48720-000
Mairi,-11.6349,-40.2134,44630-000
Lapão,-11.6158,-41.7052,44905-000
Lajedo do Tabocal,-13.3712,-40.23,45365-000
Lauro de Freitas,-12.8425,-38.3273,42700-000
Macarani,-15.557,-40.3905,45760-000
Madre de Deus,-12.7381,-38.6254,42600-000
Lajedinho,-12.427,-41.151,46825-000
Maiquinique,-15.699,-40.2641,45770-000
Macajuba,-12.1437,-40.302,46805-000
Licínio de Almeida,-14.7064,-42.5044,46330-000
Macaúbas,-13.1917,-42.6833,46500-000
Macururé,-9.3677,-39.0411,48650-000
Lençóis,-12.4726,-41.3082,46960-000
Maetinga,-14.5788,-41.696,46255-000
Malhada,-14.3891,-43.7149,46440-000
Marcionílio Souza,-13.1158,-40.6291,46780-000
Morro do Chapéu,-11.2541,-41.3636,44850-000
Mata de São João,-12.4846,-38.1791,48280-000
Matina,-13.8934,-42.9828,46480-000
Maragogipe,-12.8351,-38.9402,44420-000
Malhada de Pedras,-14.2777,-41.8921,46110-000
Maracás,-13.6501,-40.6199,45360-000
Mirangaba,-10.8036,-40.6706,44745-000
Morpará,-11.7527,-43.0913,47580-000
Mirante,-14.1861,-40.7831,45255-000
Mascote,-15.6404,-39.428,45870-000
Mansidão,-11.2078,-44.1411,47160-000
Medeiros Neto,-17.3902,-40.2757,45960-000
Maraú,-14.0992,-39.0836,45520-000
Monte Santo,-10.2665,-39.5684,48800-000
Miguel Calmon,-11.5255,-40.579,44720-000
Milagres,-12.9559,-39.8178,45315-000
Manoel Vitorino,-14.0049,-40.4801,45240-000
Mortugaba,-14.9848,-42.4055,46290-000
Nazaré,-12.95,-38.9787,44400-000
Mutuípe,-13.3328,-39.5085,45480-000
Nordestina,-10.8969,-39.4514,48870-000
Mundo Novo,-11.9193,-40.5231,44800-000
Mulungu do Morro,-12.008,-41.4258,44885-000
Novo Triunfo,-10.3479,-38.4021,48455-000
Nova Itarana,-13.0403,-40.0078,45390-000
Novo Horizonte,-12.8789,-42.1383,46730-000
Nova Soure,-11.3189,-38.4621,48460-000
Mucugê,-13.1487,-41.5174,46750-000
Muniz Ferreira,-13.0015,-39.106,44575-000
Mucuri,-18.0058,-39.7981,45930-000
Nova Fátima,-11.5661,-39.5861,44642-000
Muritiba,-12.6345,-39.0665,44340-000
Muquém de São Francisco,-12.1989,-43.5131,47115-000
Nova Redenção,-12.874,-41.1233,46835-000
Nova Canaã,-14.8462,-40.1783,45270-000
Nova Viçosa,-17.8745,-39.6652,45920-000
Nilo Peçanha,-13.6481,-39.2388,45440-000
Nova Ibiá,-13.8623,-39.5888,45452-000
Palmas de Monte Alto,-13.9629,-43.2459,46460-000
Olindina,-11.3724,-38.3859,48470-000
Ourolândia,-10.838,-41.0284,44718-000
Pau Brasil,-15.4432,-39.6897,45890-000
Pintadas,-11.9231,-39.9778,44610-000
Piraí do Norte,-13.8497,-39.3921,45436-000
Pedrão,-12.1331,-38.6062,48140-000
Piatã,-13.121,-41.8909,46765-000
Pindaí,-14.5232,-42.6782,46360-000
Oliveira dos Brejinhos,-12.3063,-42.6963,47530-000
Paratinga,-12.7356,-43.0697,47500-000
Paramirim,-13.5143,-42.2312,46190-000
Ouriçangas,-12.0034,-38.6521,48150-000
Pé de Serra,-11.8897,-39.6194,44655-000
Palmeiras,-12.5148,-41.5771,46930-000
Pilão Arcado,-10.002,-43.3937,47240-000
Paripiranga,-10.5828,-37.886,48430-000
Paulo Afonso,-9.5523,-38.1691,48600-000
Pindobaçu,-10.7385,-40.3274,44770-000
Pedro Alexandre,-9.9769,-37.9149,48580-000
Piritiba,-11.6285,-40.5149,44830-000
Planaltino,-13.2735,-40.2232,45375-000
Piripá,-14.9262,-41.753,46270-000
Poções,-14.5829,-40.2762,45260-000
Prado,-17.1182,-39.3495,45980-000
Planalto,-14.7926,-40.2842,45190-000
Ponto Novo,-10.8547,-40.162,44755-000
Potiraguá,-15.7012,-39.7669,45790-000
Remanso,-9.5411,-42.3696,47200-000
Presidente Tancredo Neves,-13.4615,-39.4213,45416-000
Quijingue,-10.788,-39.0339,48830-000
Pojuca,-12.3659,-38.2433,48120-000
Retirolândia,-11.4773,-39.4065,48750-000
Porto Seguro,-16.6718,-39.2642,45810-000
Queimadas,-10.963,-39.7187,48860-000
Riachão das Neves,-11.7748,-45.125,47970-000
Quixabeira,-11.4134,-40.133,44713-000
Presidente Dutra,-11.2533,-42.113,44930-000
Presidente Jânio Quadros,-14.8294,-41.7862,46250-000
Rafael Jambeiro,-12.5009,-39.5091,44520-000
Riachão do Jacuípe,-11.8456,-39.381,44640-000
Riacho de Santana,-13.8429,-43.1747,46470-000
Rio do Antônio,-14.2267,-42.1661,46220-000
Rio de Contas,-13.6217,-41.687,46170-000
Santa Bárbara,-11.9177,-38.9921,44150-000
Ribeirão do Largo,-15.3856,-40.6589,45155-000
Salvador,-12.8665,-38.4858,40000-000
Rio do Pires,-13.1113,-42.1775,46550-000
Ribeira do Pombal,-10.6331,-38.5012,48400-000
Rio Real,-11.53,-37.9039,48330-000
Rodelas,-8.9363,-38.6837,48630-000
Ruy Barbosa,-12.2465,-40.3267,46800-000
Santaluz,-11.1279,-39.5086,48880-000
Santa Cruz da Vitória,-14.9031,-39.7915,45725-000
Santa Brígida,-9.679,-38.1137,48570-000
Santa Cruz Cabrália,-16.2785,-39.1726,45807-000
Salinas da Margarida,-12.9067,-38.7804,44450-000
Ribeira do Amparo,-11.0056,-38.3873,48440-000
Santa Luzia,-15.4639,-39.2767,45865-000
Santa Inês,-13.2662,-39.8331,45320-000
Santana,-13.0894,-43.8476,47700-000
Santa Maria da Vitória,-13.2614,-44.378,47640-000
São José do Jacuípe,-11.4683,-39.9038,44698-000
São Felipe,-12.8653,-39.0962,44550-000
São Domingos,-11.4846,-39.5992,48895-000
Santa Rita de Cássia,-11.0271,-44.5958,47150-000
São Desidério,-12.8927,-45.5638,47820-000
São Gabriel,-10.9558,-41.5541,44915-000
Santo Antônio de Jesus,-13.008,-39.2268,44570-000
São Miguel das Matas,-13.0431,-39.434,44580-000
São Félix,-12.6781,-38.9998,44360-000
Santo Estêvão,-12.4642,-39.2681,44190-000
São José da Vitória,-15.0719,-39.3502,45620-000
São Gonçalo dos Campos,-12.4085,-38.9777,44330-000
Santanópolis,-12.0242,-38.8801,44260-000
Santa Teresinha,-12.6712,-39.5508,44590-000
São Félix do Coribe,-13.4147,-43.9814,47665-000
Santo Amaro,-12.6137,-38.7743,44200-000
São Francisco do Conde,-12.6456,-38.6333,43900-000
São Sebastião do Passé,-12.5036,-38.4517,43850-000
Serra do Ramalho,-13.411,-43.7785,47630-000
Saubara,-12.7662,-38.8017,44220-000
Sátiro Dias,-11.6317,-38.4889,48485-000
Seabra,-12.383,-41.9168,46900-000
Sapeaçu,-12.772,-39.2385,44530-000
Saúde,-10.8446,-40.3751,44740-000
Sebastião Laranjeiras,-14.6681,-43.1659,46450-000
Senhor do Bonfim,-10.4287,-40.1012,48970-000
Tabocas do Brejo Velho,-12.3694,-44.0836,47760-000
Sento Sé,-10.2125,-41.5795,47350-000
Tanhaçu,-14.0701,-41.1351,46600-000
Simões Filho,-12.7783,-38.3822,43700-000
Serra Dourada,-12.915,-43.796,47740-000
Sítio do Quinto,-10.3432,-38.0735,48565-000
Serrolândia,-11.5402,-40.2478,44710-000
Serrinha,-11.5995,-39.0387,48700-000
Sítio do Mato,-13.0038,-43.5454,47610-000
